Time,T0,u0,Te0,T1,u1,Te1,T2,u2,Te2,T3,u3,Te3,T4,u4,Te4,T5,u5,Te5,T6,u6,Te6,T7,u7,Te7,T8,u8,Te8,T9,u9,Te9,T10,u10,Te10,T11,u11,Te11
 01/01  17:00:00,16.80220374,0,12.55550002,16.29196571,0,12.55550002,17.49008211,0,12.55550002,20,20,12.55550002,18.80222469,0,12.55550002,17.37278027,0,12.55550002,20,20,12.55550002,20,20,12.55550002,16.31826105,0,12.55550002,17.84839708,0,12.55550002,20.704546,20,12.55550002,20,20,12.55550002
 01/01  18:00:00,16.68893713,0,12.29300002,16.29188183,0,12.29300002,17.3748308,0,12.29300002,20,20,12.29300002,18.67479166,0,12.29300002,17.36072534,0,12.29300002,20,20,12.29300002,20,20,12.29300002,16.32293579,0,12.29300002,17.71331474,0,12.29300002,20.41104567,20,12.29300002,20,20,12.29300002
 01/01  19:00:00,16.62622394,0,12.05550002,16.29335282,0,12.05550002,17.30115755,0,12.05550002,20,20,12.05550002,18.59304446,0,12.05550002,17.34663339,0,12.05550002,20,20,12.05550002,20,20,12.05550002,16.32938524,0,12.05550002,17.6228424,0,12.05550002,20.19226797,20,12.05550002,20,20,12.05550002
 01/01  20:00:00,16.57031055,0,11.79300002,16.29026195,0,11.79300002,17.23205069,0,11.79300002,20,20,11.79300002,18.51863264,0,11.79300002,17.32979584,0,11.79300002,20,20,11.79300002,20,20,11.79300002,16.33109672,0,11.79300002,17.53205607,0,11.79300002,20.0209284,20,11.79300002,20,20,11.79300002
 01/01  21:00:00,16.50374405,0,11.43050002,16.27131571,0,11.43050002,17.1524793,0,11.43050002,20,20,11.43050002,18.44109994,0,11.43050002,17.29821612,0,11.43050002,20,20,11.43050002,20,20,11.43050002,16.31640728,0,11.43050002,17.4264651,0,11.43050002,20,20,11.43050002,20,20,11.43050002
 01/01  22:00:00,16.4304918,0,11.09300002,16.24190472,0,11.09300002,17.06764514,0,11.09300002,20,20,11.09300002,18.36294911,0,11.09300002,17.25888443,0,11.09300002,20,20,11.09300002,20,20,11.09300002,16.29098384,0,11.09300002,17.3137694,0,11.09300002,20,20,11.09300002,20,20,11.09300002
 01/01  23:00:00,16.31326714,0,10.35550002,16.1665172,0,10.35550002,16.93858455,0,10.35550002,20,20,10.35550002,18.25744226,0,10.35550002,17.17532018,0,10.35550002,20,20,10.35550002,20,20,10.35550002,16.21988845,0,10.35550002,17.15825434,0,10.35550002,20,20,10.35550002,20,20,10.35550002
 01/01  24:00:00,16.13711999,0,9.355500018,16.03449132,0,9.355500018,16.75145316,0,9.355500018,20,20,9.355500018,18.12313684,0,9.355500018,17.03544041,0,9.355500018,20,20,9.355500018,20,20,9.355500018,16.09299589,0,9.355500018,16.94798908,0,9.355500018,20,20,9.355500018,20,20,9.355500018
 01/02  01:00:00,16.05590446,0,9.605500018,19.99529652,20,9.605500018,16.66776551,0,9.605500018,18.81074722,0,9.605500018,18.05257115,0,9.605500018,16.99174133,0,9.605500018,18.94196126,0,9.605500018,20,20,9.605500018,16.05203365,0,9.605500018,16.8407284,0,9.605500018,20,20,9.605500018,20,20,9.605500018
 01/02  02:00:00,15.96354626,0,9.293000018,20,20,9.293000018,16.57708898,0,9.293000018,18.28452139,0,9.293000018,17.95150228,0,9.293000018,16.93688982,0,9.293000018,18.44646942,0,9.293000018,20,20,9.293000018,15.9974023,0,9.293000018,16.71766202,0,9.293000018,20,20,9.293000018,20,20,9.293000018
 01/02  03:00:00,15.75246101,0,8.193000018,20,20,8.193000018,16.36663063,0,8.193000018,17.94860731,0,8.193000018,17.78962578,0,8.193000018,16.75840712,0,8.193000018,18.09762229,0,8.193000018,20,20,8.193000018,15.82945677,0,8.193000018,16.48221445,0,8.193000018,20,20,8.193000018,20,20,8.193000018
 01/02  04:00:00,15.51835771,0,7.093000018,20,20,7.093000018,16.13885369,0,7.093000018,17.6288418,0,7.093000018,17.60011409,0,7.093000018,16.55998427,0,7.093000018,17.75320539,0,7.093000018,20,20,7.093000018,15.62811903,0,7.093000018,16.22435735,0,7.093000018,20,20,7.093000018,20,20,7.093000018
 01/02  05:00:00,15.35041581,0,6.868000018,20,20,6.868000018,15.97806657,0,6.868000018,17.39085834,0,6.868000018,17.45640804,0,6.868000018,16.42415395,0,6.868000018,17.48564895,0,6.868000018,20,20,6.868000018,15.49303109,0,6.868000018,16.02685233,0,6.868000018,20,20,6.868000018,20,20,6.868000018
 01/02  06:00:00,15.25077355,0,7.168000018,20,20,7.168000018,15.88592809,0,7.168000018,17.23254358,0,7.168000018,17.34979519,0,7.168000018,16.35600676,0,7.168000018,17.29524106,0,7.168000018,20,20,7.168000018,15.42687481,0,7.168000018,15.89532341,0,7.168000018,20,20,7.168000018,20,20,7.168000018
 01/02  07:00:00,15.16230477,0,7.468000018,20,20,7.468000018,15.80691829,0,7.468000018,17.09621006,0,7.468000018,17.25093431,0,7.468000018,16.30147159,0,7.468000018,17.12699393,0,7.468000018,20,20,7.468000018,15.37171456,0,7.468000018,15.77566325,0,7.468000018,20,20,7.468000018,20,20,7.468000018
 01/02  08:00:00,15.06572754,0,7.518000018,20,20,7.518000018,15.72041682,0,7.518000018,16.95811042,0,7.518000018,17.14819922,0,7.518000018,16.23682159,0,7.518000018,16.95766207,0,7.518000018,20,20,7.518000018,15.30711084,0,7.518000018,15.64946782,0,7.518000018,20,20,7.518000018,20,20,7.518000018
 01/02  09:00:00,14.98782739,0,7.418000018,20,20,7.418000018,15.65110046,0,7.418000018,16.91204449,0,7.418000018,17.07802676,0,7.418000018,16.18337856,0,7.418000018,16.81252146,0,7.418000018,20,20,7.418000018,15.25618613,0,7.418000018,15.60436392,0,7.418000018,20,20,7.418000018,20,20,7.418000018
 01/02  10:00:00,14.99562699,0,7.318000018,20,20,7.318000018,15.66459935,0,7.318000018,17.28897508,0,7.318000018,17.10080686,0,7.318000018,16.22650311,0,7.318000018,16.75828214,0,7.318000018,20,20,7.318000018,15.28242726,0,7.318000018,16.06263656,0,7.318000018,20,20,7.318000018,20,20,7.318000018
 01/02  11:00:00,15.14387037,0,8.218000018,20,20,8.218000018,15.81667213,0,8.218000018,17.89958083,0,8.218000018,17.24101636,0,8.218000018,16.49081429,0,8.218000018,16.85046864,0,8.218000018,20,20,8.218000018,15.44357742,0,8.218000018,17.07113464,0,8.218000018,20.12212168,20,8.218000018,20,20,8.218000018
 01/02  12:00:00,15.4455351,0,9.655500018,20,20,9.655500018,16.11560757,0,9.655500018,18.33488676,0,9.655500018,17.47110027,0,9.655500018,16.8721394,0,9.655500018,17.09254538,0,9.655500018,20,20,9.655500018,15.75993151,0,9.655500018,18.19344837,0,9.655500018,20.96688221,20,9.655500018,20,20,9.655500018
 01/02  13:00:00,15.8103453,0,11.11800002,20,20,11.11800002,16.48699411,0,11.11800002,18.47863281,0,11.11800002,17.75592261,0,11.11800002,17.20255454,0,11.11800002,17.42325604,0,11.11800002,20,20,11.11800002,16.12374402,0,11.11800002,18.96482158,0,11.11800002,21.70415776,20,11.11800002,20,20,11.11800002
